frame_index,frame_name,time_seconds,timestamp,abs_timestamp,ground,environment,objects,score
4875,DJI_0411_frame_004875,2996.6,0:49:56,,0;1;0;0,0.2514;0.0000;0.0018,0;1;0,71.68
5000,DJI_0411_frame_005000,3001.6,0:50:01,,0;1;0;0,0.1797;0.0000;0.0020,0;1;0,71.59
5125,DJI_0411_frame_005125,3006.6,0:50:06,,0;1;0;0,0.1870;0.0000;0.0475,0;4;0,54.17
5250,DJI_0411_frame_005250,3011.6,0:50:11,,0;1;0;0,0.2750;0.0000;0.0507,0;3;0,56.54
5375,DJI_0411_frame_005375,3016.6,0:50:16,,0;1;0;0,0.2417;0.0000;0.0214,0;7;0,56.83
5500,DJI_0411_frame_005500,3021.6,0:50:21,,0;1;0;0,0.1174;0.0000;0.0726,0;2;2,51.28
5625,DJI_0411_frame_005625,3026.6,0:50:26,,0;1;0;0,0.1991;0.0000;0.0884,0;4;0,51.34
5750,DJI_0411_frame_005750,3031.6,0:50:31,,0;1;0;0,0.1119;0.0000;0.2361,0;4;0,41.32
5875,DJI_0411_frame_005875,3036.6,0:50:36,,0;1;0;0,0.1238;0.0000;0.1535,0;3;1,45.35
6000,DJI_0411_frame_006000,3041.6,0:50:41,,0;1;0;0,0.3542;0.0000;0.0582,0;2;0,59.93
6125,DJI_0411_frame_006125,3046.6,0:50:46,,0;1;0;0,0.0967;0.0000;0.2791,0;8;0,38.96
6250,DJI_0411_frame_006250,3051.6,0:50:51,,0;1;0;0,0.0012;0.0000;0.3644,1;5;0,32.37
6375,DJI_0411_frame_006375,3056.6,0:50:56,,0;1;0;0,0.0219;0.0000;0.2925,0;2;2,36.48
6500,DJI_0411_frame_006500,3061.6,0:51:01,,0;1;0;0,0.2233;0.0000;0.0910,0;5;2,51.31
6625,DJI_0411_frame_006625,3066.6,0:51:06,,0;1;0;0,0.4291;0.0000;0.0465,0;1;0,69.24
6750,DJI_0411_frame_006750,3071.6,0:51:11,,0;1;0;0,0.4056;0.0000;0.1333,0;3;0,54.06
6875,DJI_0411_frame_006875,3076.6,0:51:16,,0;1;0;0,0.2306;0.0000;0.1015,0;1;0,63.62
